Date,Type,Fixed,Sub-Categories,Categories,Who,Travel,Concept,Amount USD,Amount in LC,Comments,Exchange Rate,Currency,Payment Method,Frequency,~Monthly Cost
2025-05-24,Expenses,False,,TEXAS ROADHOUSE #2095,Matt,,,63.91,63.91,,1,USD,Card,,
2025-05-23,Expenses,False,,BULLRITOS,Matt,,,12.16,12.16,,1,USD,Card,,
2025-05-20,Expenses,False,,WAL-MART #2257,Matt,,,10.12,10.12,,1,USD,Card,,
2025-05-17,Expenses,False,,H-E-B #109,Matt,,,7.09,7.09,,1,USD,Card,,
2025-05-16,Expenses,False,,ACADEMY SPORTS #10,Matt,,,47.0,47.0,,1,USD,Card,,
2025-05-16,Expenses,False,,99 RANCH #1101,Matt,,,27.97,27.97,,1,USD,Card,,
2025-05-16,Expenses,False,,H-E-B #109,Matt,,,52.66,52.66,,1,USD,Card,,
2025-05-13,Expenses,False,,THE UPS STORE 2397,Matt,,,2.33,2.33,,1,USD,Card,,
2025-05-10,Expenses,False,,DOMINO'S 8798,Matt,,,21.41,21.41,,1,USD,Card,,
2025-05-10,Expenses,False,,TST*JCI- JAMES CONEY I,Matt,,,6.7,6.7,,1,USD,Card,,
2025-05-10,Expenses,False,,TARGET        00008581,Matt,,,35.7,35.7,,1,USD,Card,,
2025-05-05,Expenses,False,,PHO TINA,Matt,,,26.48,26.48,,1,USD,Card,,
2025-05-05,Expenses,False,,PETRO #305 RESTAURAN,Matt,,,18.31,18.31,,1,USD,Card,,
2025-05-04,Expenses,False,,TST*BURGER BOY 1 - N.,Matt,,,8.41,8.41,,1,USD,Card,,
2025-05-05,Expenses,False,,SQ *EL JEFE/LA JEFA,Matt,,,9.88,9.88,,1,USD,Card,,
2025-05-03,Expenses,False,,ALAMO CITY LIQUOR,Matt,,,86.58,86.58,,1,USD,Card,,
2025-05-03,Expenses,False,,PAT OBRIENS,Matt,,,59.81,59.81,,1,USD,Card,,
2025-05-04,Expenses,False,,SQ *CREPELANDIA210,Matt,,,11.5,11.5,,1,USD,Card,,
2025-05-03,Expenses,False,,SQ *WAYNE'S WINGS,Matt,,,172.25,172.25,,1,USD,Card,,
2025-05-02,Expenses,False,,TST*TWIN CRAB - NORTH,Matt,,,66.44,66.44,,1,USD,Card,,
